Name,Series,Description,Author,Age,Rating_out_of_5,No_of_Ratings,Price,Price_Befor,Cover_Type,Publication_Date,Product_Details,Best_Seller,Link
We Were Liars,,"
#1 NEW YORK TIMES BESTSELLER • A modern, sophisticated suspense novel from National Book Award finalist, and Printz Award honoree E. Lockhart.A beautiful and distinguished family.A private island.A brilliant, damaged girl; a passionate, political boy.A group of four friends—the Liars—whose friendship turns destructive.A revolution. An accident. A secret.Lies upon lies.True love.The truth.Read it.And if anyone asks you how it ends, just LIE.""Thrilling, beautiful, and blisteringly smart, We Were Liars is utterly unforgettable."" —John Green, #1 New York Times bestselling author of The Fault in Our Stars

",E. Lockhart,Ages: 12 years and up,4.5,12.959000000000001,$5.99,$10.99,Paperback,2018-05-29,"



Product details





Publisher
:

Ember; Illustrated edition (May 29, 2018)


Language
:

English


Paperback
:

320 pages


ISBN-10
:

0385741278


ISBN-13
:

978-0385741279


Reading age
:

12 - 17 years


Lexile measure
:

600L


Grade level
:

7 - 9


Item Weight
:

12 ounces


Dimensions
:

5.49 x 0.84 x 8.24 inches






Best Sellers Rank:

#13 in Books (See Top 100 in Books)

 #1 in Teen & Young Adult Family Fiction
 #1 in Teen & Young Adult Fiction about Emotions & Feelings
 #1 in Teen & Young Adult Fiction about Death & Dying






Customer Reviews:







4.5 out of 5 stars








12,959 ratings












",,https://www.amazon.com/We-Were-Liars-Lockhart/dp/0385741278/ref=sr_1_1?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-1
Harry Potter Paperback Box Set (Books 1-7),,"
Now for the first time ever, J.K. Rowling’s seven bestselling Harry Potter books are available in a stunning paperback boxed set! The Harry Potter series has been hailed as “one for the ages” by Stephen King and “a spellbinding saga’ by USA Today. And most recently, The New York Times called Harry Potter and the Deathly Hallows the “fastest selling book in history.” This is the ultimate Harry Potter collection for Harry Potter fans of all ages!

",J. K. Rowling,Ages: 8 years and up,4.9,34.849000000000004,$50.00,$86.93,Paperback,2009-07-01,"



Product details





Publisher
:

Arthur A. Levine Books; Slp edition (July 1, 2009)


Language
:

English


Paperback
:

4167 pages


ISBN-10
:

0545162076


ISBN-13
:

978-0545162074


Reading age
:

8 years and up


Grade level
:

4 - 6


Item Weight
:

6.44 pounds


Dimensions
:

10.6 x 8.5 x 5.5 inches






Best Sellers Rank:

#211 in Books (See Top 100 in Books)

 #3 in Children's School Issues
 #3 in Teen & Young Adult Humorous Fiction
 #6 in Children's Fantasy & Magic Books






Customer Reviews:







4.9 out of 5 stars








34,849 ratings












",,https://www.amazon.com/Harry-Potter-Paperback-Box-Books/dp/0545162076/ref=sr_1_2?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-2
If Animals Kissed Good Night,,"
Don't miss the other books in this adorable series: If Animals Said I Love You, If Animals Celebrated Christmas, If Animals Went to School, and If Animals Gave Thanks!What if animals did what YOU do? This bestselling story imagines how animals would kiss their loved ones good night!If animals kissed good night like we do...how would they do it? Giraffe and his calf would stretch their necks high, Wolf and his pup would kiss and then HOWL, and Sloth and her baby would move sooooo sloooowwwww. And across the animal kingdom, every creature would share love in a unique way.

",Ann Whitford Paul,Ages: 3 - 6 years,4.8,34.548,$4.79,$7.99,Board book,2014-06-03,"



Product details





Publisher
:

Farrar, Straus and Giroux (BYR); Illustrated edition (June 3, 2014)


Language
:

English


Board book
:

34 pages


ISBN-10
:

0374300216


ISBN-13
:

978-0374300210


Reading age
:

3 - 6 years


Lexile measure
:

AD600L


Grade level
:

Preschool - 1


Item Weight
:

10.4 ounces


Dimensions
:

6.54 x 0.64 x 6.39 inches






Best Sellers Rank:

#17 in Books (See Top 100 in Books)

 #1 in Children's Parents Books
 #1 in Poetry for Early Learning
 #1 in Stories in Verse






Customer Reviews:







4.8 out of 5 stars








34,548 ratings












",in Poetry for Early Learning,https://www.amazon.com/If-Animals-Kissed-Good-Night/dp/0374300216/ref=sr_1_3?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-3
"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",,"
A lifetime of communication skills starts here―the ultimate writing workbook for kids 3 to 5Set kids up to succeed in school with a learn to write for kids guide that teaches them letters, shapes, and numbers―and makes it fun. My First Learn-to-Write Workbook introduces early writers to proper pen control, line tracing, and more with dozens of handwriting exercises that engage their minds and boost their reading and writing comprehension skills.This activity book for kids includes:75+ Pages of practices―Tons of engaging pencil-on-paper activities like connect-the-dots and fill-in-the-blank offer enough repetition for real learning but enough variety to keep kids interested.Colorful fun―This workbook is full of helpful (and silly) pictures and illustrations that will spark kids’ imaginations and get them excited to keep practicing. Comprehensive skill-building―As they explore these exercises, kids will learn reading comprehension and letters as well as numbers, pen control, and fine motor skills.Get your little one on the path to success with this exciting learn to write workbook.

",Crystal Radke,Ages: 3 - 5 years,4.8,41.827,$5.39,$8.99,Paperback,2019-08-27,"



Product details





Publisher
:

Rockridge Press; Workbook edition (August 27, 2019)


Language
:

English


Paperback
:

84 pages


ISBN-10
:

1641526270


ISBN-13
:

978-1641526272


Reading age
:

3 - 5 years


Item Weight
:

10.2 ounces


Dimensions
:

8.5 x 0.23 x 11.02 inches






Best Sellers Rank:

#24 in Books (See Top 100 in Books)

 #1 in Children's Handwriting Books
 #1 in Children's Word Books
 #1 in Language Arts Teaching Materials






Customer Reviews:







4.8 out of 5 stars








41,827 ratings












",in Language Arts Teaching Materials,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=sr_1_4?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-4
I Love You to the Moon and Back,,"
Show your child just how strong your love is every minute of the day! Features a ""To"" and ""From"" personalization page, making this sweet offering an ideal gift for baby showers, birthdays, and new parents. The sun rises, and a bear and cub begin their day together. They splash in the water, climb mountains, watch the colorful lights in the shimmering sky, and play with friends. They show their love for each other by touching noses, chasing each other, and, of course, hugging and snuggling before bed. A sweet, gentle rhyme, perfect for sharing with a special little one that also includes a “To” and ""From” personalization page in the front of the book, making this heartwarming book an ideal gift.

",Amelia Hepworth,Ages: 2 - 5 years,4.9,20.949, $1.38,,Board book,2015-03-03,"



Product details





Publisher
:

Tiger Tales; Brdbk edition (March 3, 2015)


Language
:

English


Board book
:

28 pages


ISBN-10
:

1589255518


ISBN-13
:

978-1589255517


Reading age
:

2 - 5 years


Lexile measure
:

AD460L


Item Weight
:

10.4 ounces


Dimensions
:

6.44 x 0.65 x 6.63 inches






Best Sellers Rank:

#31 in Books (See Top 100 in Books)

 #1 in Children's Multigenerational Family Life
 #1 in Children's Bear Books (Books)
 #1 in Children's Emotions Books






Customer Reviews:







4.9 out of 5 stars








20,949 ratings












",in Children's Bear Books,https://www.amazon.com/I-Love-You-Moon-Back/dp/1589255518/ref=sr_1_5?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-5
Superheroes Are Everywhere,,"
From Vice President Kamala Harris comes a picture book with an empowering message: Superheroes are all around us--and if we try, we can all be heroes too. Now a #1 New York Times bestseller!Before Kamala Harris was elected to the vice presidency, she was a little girl who loved superheroes. And when she looked around, she was amazed to find them everywhere! In her family, among her friends, even down the street--there were superheroes wherever she looked. And those superheroes showed her that all you need to do to be a superhero is to be the best that you can be.In this empowering and joyful picture book that speaks directly to kids, Kamala Harris takes readers through her life and shows them that the power to make the world a better place is inside all of us. And with fun and engaging art by Mechal Renee Roe, as well as a guide to being a superhero at the end, this book is sure to have kids taking up the superhero mantle (cape and mask optional).Praise for Superheroes Are Everywhere:""This [book] offers a solid message: a superhero could be anyone, including you."" --Booklist

",Kamala Harris,Ages: 3 - 7 years,4.8,1.726,$14.62,$17.99,Hardcover,2019-01-08,"



Product details





Publisher
:

Philomel Books; Illustrated edition (January 8, 2019)


Language
:

English


Hardcover
:

40 pages


ISBN-10
:

1984837494


ISBN-13
:

978-1984837493


Reading age
:

3 - 7 years


Lexile measure
:

640L


Grade level
:

Preschool - 2


Item Weight
:

14.4 ounces


Dimensions
:

8.81 x 0.34 x 11.31 inches






Best Sellers Rank:

#20 in Books (See Top 100 in Books)

 #1 in Children's Political Biographies (Books)
 #1 in Children's Women Biographies (Books)
 #2 in Children's Values Books






Customer Reviews:







4.8 out of 5 stars








1,726 ratings












",in Children's Women Biographies,https://www.amazon.com/Superheroes-Are-Everywhere-Kamala-Harris/dp/1984837494/ref=sr_1_6?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-6
Bronco and Friends: A Party to Remember,,"
NEW YORK TIMES BESTSELLER • Heisman Trophy winner, multi-sport athlete, special needs advocate, and positive role model Tim Tebow encourages children to embrace their unique qualities in his first book for children, a winning tale based on his sweet pup, Bronco.Bronco received an invitation to a party, but he can’t find the puzzle piece everyone is supposed to bring. During his search, he encounters a variety of friends with their own set of worries: a flightless bird, an allergic goat, and a clumsy bunny. The animals team up to find both Bronco's puzzle piece and the party, arriving to discover that the party is in their honor!This sweet story of animals with different challenges and abilities is core to Tim Tebow’s message to fans and friends of any age who have special needs. Getting invited to the party is exciting—but bringing your own particular gifts makes it more fun for everyone. Tim Tebow wants everyone to know that's how God sees them: special, unique, and essential to the party.

",Tim Tebow,Ages: 3 - 7 years,4.9,381.0,$12.07,$17.99,Hardcover,2021-01-05,"



Product details





Publisher
:

WaterBrook; Illustrated edition (January 5, 2021)


Language
:

English


Hardcover
:

40 pages


ISBN-10
:

0593232046


ISBN-13
:

978-0593232040


Reading age
:

3 - 7 years


Grade level
:

Preschool - 2


Item Weight
:

12.6 ounces


Dimensions
:

9.81 x 0.39 x 9.81 inches






Best Sellers Rank:

#148 in Books (See Top 100 in Books)

 #1 in Children's Christian Friendship Fiction
 #1 in Children's Christian Family Fiction
 #1 in Children's Books on Disability






Customer Reviews:







4.9 out of 5 stars








381 ratings












",in Children's Christian Family Fiction,https://www.amazon.com/Bronco-Friends-Remember-Tim-Tebow/dp/0593232046/ref=sr_1_7?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-7
My First Library : Boxset of 10 Board Books for Kids,,"
The amazing boxset contains a set of 10 well-researched board books to introduce wide range of learning topics and everyday objects to the little scholars. Vibrant pictures and accurate word labels encourages the child to build a robust vocabulary in a very short time. The attractive and sturdy gift box sets are the perfect gifts for toddlers. The topics included in the set are - ABC, Numbers, Shapes, Colours, Wild Animals, Farm Animals & Pets, Birds, Fruits, Vegetables, Transport.

",Wonder House Books,,4.6,12.762,$15.81,$19.99,Board book,2018-04-25,"



Product details





ASIN
:

9387779262


Publisher
:

Wonder House Books; First edition (April 25, 2018)


Language
:

English


Board book
:

220 pages


ISBN-10
:

9789387779266


ISBN-13
:

978-9387779266


Reading age
:

Baby and up


Item Weight
:

1.83 pounds


Dimensions
:

7.87 x 5.51 x 1.57 inches






Best Sellers Rank:

#68 in Books (See Top 100 in Books)

 #1 in Children's Sense & Sensation Books
 #1 in Children's Vocabulary & Spelling Books
 #1 in Children’s Books about Libraries & Reading






Customer Reviews:







4.6 out of 5 stars








12,762 ratings












",in Children’s Books about Libraries & Reading,https://www.amazon.com/My-First-Library-Boxset-Board/dp/9387779262/ref=sr_1_8?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-8
Grumpy Monkey,Part of: Grumpy Monkey (4 Books),"
The hilarious #1 New York Times bestselling picture book about a chimpanzee in a very bad mood--perfect for young children learning how to deal with confusing feelings.  Jim the chimpanzee is in a terrible mood for no good reason. His friends can't understand it--how can he be in a bad mood when it's SUCH a beautiful day? They have lots of suggestions for how to make him feel better. But Jim can't take all the advice...and has a BIT of a meltdown. Could it be that he just needs a day to feel grumpy? Suzanne and Max Lang bring hilarity and levity to this very important lesson on emotional literacy, demonstrating to kids that they are allowed to feel their feelings. Jim Panzee is back and grumpier than ever in Grumpy Monkey: Party Time and Grumpy Monkey: Up All Night!

",Suzanne Lang,Ages: 3 - 7 years,4.8,9.985,$10.99,,Hardcover,2018-05-15,"



Product details





Publisher
:

Random House Books for Young Readers; Illustrated edition (May 15, 2018)


Language
:

English


Hardcover
:

32 pages


ISBN-10
:

0553537865


ISBN-13
:

978-0553537864


Reading age
:

3 - 7 years


Lexile measure
:

AD460L


Grade level
:

Preschool - 2


Item Weight
:

13.6 ounces


Dimensions
:

10.31 x 0.34 x 10.31 inches






Best Sellers Rank:

#42 in Books (See Top 100 in Books)

 #1 in Children's Humor
 #1 in Children's Ape & Monkey Books (Books)
 #2 in Children's Emotions Books






Customer Reviews:







4.8 out of 5 stars








9,985 ratings












",in Children's Ape & Monkey Books,https://www.amazon.com/Grumpy-Monkey-Suzanne-Lang/dp/0553537865/ref=sr_1_9?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-9
The Very Hungry Caterpillar,Part of: Rise and Shine (3 Books),"
THE all-time classic picture book, from generation to generation, sold somewhere in the world every 30 seconds! A sturdy and beautiful book to give as a gift for new babies, baby showers, birthdays, and other new beginnings!Featuring interactive die-cut pages, this board book edition is the perfect size for little hands and great for teaching counting and days of the week. ""The very hungry caterpillar literally eats his way through the pages of the book—and right into your child's heart..."" —Mother's Manual""Gorgeously illustrated, brilliantly innovative...""—The New York Times Book Review

",Eric Carle,Ages: 0 - 3 years,4.9,33.167,$6.99,$10.99,Board book,1994-03-23,"



Product details





Publisher
:

Philomel Books; 1st edition (March 23, 1994)


Language
:

English


Board book
:

26 pages


ISBN-10
:

0399226907


ISBN-13
:

978-0399226908


Reading age
:

Baby - 3 years


Lexile measure
:

AD460L


Item Weight
:

7.2 ounces


Dimensions
:

5 x 0.69 x 7.13 inches






Best Sellers Rank:

#38 in Books (See Top 100 in Books)

 #1 in Children's Bug & Spider Books (Books)
 #1 in Children's Classics
 #1 in English as a Second Language Instruction






Customer Reviews:







4.9 out of 5 stars








33,167 ratings












",in Children's Bug & Spider Books,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=sr_1_10?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-10
